标题,引言,作者,出版书,日期,文章属性,关键词,下载数量,引用数量
基于机器学习的加密代理类流量识别与分类技术研究  CNKI文献,第一章 绪论 第一章 绪 论 1.1 课题背景与研究意义 随着互联网技术不断发展，各类应用程序应运而生，网络用户数量也迅速增 加。中国互联网信息中心[1]的第 52 次统计报告指出，国内的网民规模已达 10.79 亿，互联网普及率高达 76.4%，数字基础建设进一步加速，各类应用的用户规模也 呈现增长趋势，使得互联网成为了人民生活中不可或缺的一部分。为了确保用户 隐私并提升用户数据的...,周楠馨 导师:李玉军,中国优秀硕士学位论文全文数据库, 2024-03-15 ,中国优秀硕士学位论文全文数据库,关键词：加密代理类流量 / 流量识别 / 业务分类 / 机器学习,下载（37）,被引（0）
面向跨数据中心机器学习的高性能训练系统及性能优化技术  CNKI文献,第一章 绪论 第一章 绪 论 1.1 研究背景及意义 尽管分布式机器学习在单个智算中心内已经取得巨大成功，但出于用户服务 延迟和数据监管要求的考虑，企业常在世界各地建设数据中心。这些数据中心就 近服务用户，就近存储用户数据，所以训练数据天然是地理分散的。另一方面， 近期的研究对智算集群中 GPU 的使用情况进行了统计，发现仅有 55% 至 80% 的 GPU 得到了利用 ...,李宗航 导师:虞红芳,中国博士学位论文全文数据库, 2024-03-26 ,中国博士学位论文全文数据库,关键词：地理分布式机器学习 / 通信架构设计 / 通信调度优化 / 系统异质性优化,下载（47）,被引（0）
多源遥感数据与机器学习算法的沼泽湿地信息提取  CNKI文献,"遥感技术具有观测范围广、时间分辨率高、信息量大等特点，在湿地资源调查中得到广泛应用（Abdelmajeed et al.,2023）。其中，雷达数据能够监测湿地区域内水文要素的相关信息，多光谱数据则提供植被覆盖和群落类型的相关信息，在湿地和植被带信息的识别和区分方面发挥了一定的作用（Fan et al.,2023）。Sentinel-1合成孔径雷达（SAR）数据具有显著的优势，不受天气状况的影响，...",李濡旭 武海涛 姜明 邹元春 秦树林 徐琛 王丹 田恩朋 薛振山,《湿地科学与管理》,2024年02期,期刊,关键词：多源遥感数据 / 机器学习 / 随机森林 / GEE,下载（699）,被引（0）
机器学习在因果推断中的应用  CNKI文献,机器学习具有强大的模型外线性和非线性预测能力， 其侧重于关联， 在疾病风险预测、 诊断和预后等方面得到广泛应用[1]。因果推断具有良好的推理能力和可解释性， 侧重于因果关系。机器学习和因果推断在早期并无太大联系， 甚至在某些情况下， 二者存在矛盾。进入大数据时代后， 由于传统的因果推断方法侧重于二维变量， 如果直接应用于高维数据， 有可能会影响因果推断的准确性， 甚至无法运...,王星 吴亚飞 方亚,《中国卫生统计》,2024年02期,期刊,关键词：机器学习 / 因果推断 / 因果模型,下载（596）,被引（0）
机器学习预测脑卒中病人日常生活活动能力的研究进展  CNKI文献,脑卒中是一种急性脑血管疾病，由于脑血管病变引起脑功能障碍，是全球致死、致残的首要原因。我国脑卒中筛查数据显示，城市和农村居民的脑血管病的发病率分别为203.6/10万和298.2/10万，死亡率分别为128.88/10万和160.19/10万[1]。随着人口老龄化和城市化进程加速，发生脑卒中的危险因素仍在逐年增长，给社会带来沉重的负担。脑卒中发病率呈年轻化趋势[2]，为了提高临床对脑卒中的识别和诊...,李贤 马秀芝,《护理研究》,2024年08期,期刊,关键词：脑卒中 / 机器学习 / 日常生活活动能力 / 信息化管理,下载（1217）,被引（0）
机器学习中基于同态加密的隐私保护技术研究  CNKI文献,第一章 绪论 第一章 绪 论 本章将从机器学习技术与同态加密技术出发对本文的背景与研究意义、国内 外的研究现状以及本工作的贡献与创新进行概述。 1.1 本文的背景与意义 随着大数据技术的兴起与发展，个人数据与企业数据的隐私保护变得日渐重 要。在信息时代，不仅是个人对于隐私保护技术的关注度不断增加，企业对于数 据隐私保护的需求也不断增长。同时近年来随着机器学习技...,刘健智 导师:李善仓,中国优秀硕士学位论文全文数据库, 2024-04-15 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 神经网络 / 隐私保护 / 同态加密,下载（33）,被引（0）
机器学习技术在眼健康领域的应用  CNKI文献,获取全文 引言 机器学习是人工智能科学领域的重要分支，是实现人工智能的一个重要途径。近年来，随着机器学习算法本身的进步、大数据技术的突破以及算力设备的发展，机器学习技术在教育、金融、制造和医疗等领域得到了广泛的应用。特别是在医疗领域，医疗影像设备的发展、电子病历系统的普及和其他医疗信息相关技术的进步，为机器学习技术赋能医疗行业、在多个医疗环节中发...,叶旭 杜一 崔文娟 沈俊杰 谢靖 王露笛,《数据与计算发展前沿(中英文)》,2024年02期,期刊,关键词：眼健康 / 机器学习 / 大数据技术,下载（393）,被引（0）
基于机器学习的材料设计  CNKI文献,"材料科学是一门与工程技术密不可分的应用科学,主要研究材料的合成、性能、结构和应用.从古至今,材料的发现和创新一直是人类文明进步的重要驱动力.当代社会,现代科技和工业对于新型、高性能材料的需求与日俱增,材料科学的重要性日益凸显.材料科学的发展为科技生活注入了新的活力,如高性能轻质金属材料、新型钙钛矿材料、高温超导材料、半导体材料等,在能源、通信、交通、医疗等各领域都发挥着重要作用[1].在过去几十年...",陆文聪 吴炎淼 刘太昂 卢天 纪晓波 邢雷凯,《河南师范大学学报(自然科学版)》,2024年04期,期刊,关键词：机器学习 / 材料设计 / 配方优化,下载（1216）,被引（0）
基于机器学习的岩土工程优化应用研究  CNKI文献,0 引言 岩土工程是一项保障人民日常生活的业务，通过将机器学习应用于岩土工程中，可以有效地分析、评测、整合并准确地预测岩土参数，能够极大地提升岩土工程的施工质量，确保其能够按时完工，推动岩土工程健康发展。 1 机器学习在岩土工程中应用研究的基本概念和背景 机器学习是指计算机通过分析数据库中的数据，总结归纳数据运行变化的规律，将其规律固定到模型中，模型具有推...,徐全善 祝毓萍 查治洲,《江苏通信》,2024年02期,期刊,关键词：机器学习 / 岩土工程 / 应用研究,下载（112）,被引（0）
可信机器学习综述  CNKI文献,####机器学习是人工智能领域的一个重要分支，是对通过学习经验数据提高计算机系统或算法性能以适应各种环境和任务的研究[1]。该方法作为当今发展速度最快的技术之一，受到了学界和业界的广泛关注与认可，在各行各业都得到了广泛的应用[2]，在图像识别、自然语言处理、数据挖掘与预测等关键任务上都展现出了超越人类的能力[3]。随着机器学习在大众生活中的不断渗入与广泛应用，人...,陈彩华 佘程熙 王庆阳,《工业工程》,2024年02期,期刊,关键词：可信机器学习 / 公平性 / 可解释性 / 鲁棒性,下载（316）,被引（0）
基于高通量筛选和机器学习的电催化材料设计  CNKI文献,"贵州师范大学 硕士 2024 基于高通量筛选和机器学习的电催化材料设计 Design of Electrocatalytic Materials Based on High-Throughput Screening and Machine Learning 杨雨 肖文君 无线电物理 光电催化材料设计研究 人类过度依赖煤、石油和天然气等能源,对能源储量和环境都带来严重的...",杨雨 导师:肖文君,中国优秀硕士学位论文全文数据库, 2024-05-25 ,中国优秀硕士学位论文全文数据库,关键词：第一性原理计算 / 二维材料 / 电催化 / 机器学习,下载（181）,被引（0）
智慧水利“教学+科创+竞赛”协同体系构建——以智慧水利“人工智能与机器学习”课程建设为例  CNKI文献,为了加快智慧水利建设，推动新阶段水利高质量发展，2021年10月，水利部制定了《关于大力推进智慧水利建设的指导意见》《智慧水利建设顶层设计》及《十四五智慧水利建设规划》，确定了建设数字孪生流域，实现具有预报、预警、预演、预案功能的智慧水利体系[1]。鉴于智慧水利在促进水资源优化配置、水利工程智能建造及水灾害防治等方面表现出的独特优势，目前智慧水利已成为全国各大水利部门的研发热点，但是智慧水利复合型...,刘泽 张智韬 许景辉,《黑龙江教育(高教研究与评估)》,2024年04期,期刊,关键词：智慧水利 / 课程体系 / 教学改革 / 大学生科创,下载（498）,被引（0）
基于OBE和德育教育的机器学习课程探索与实践  CNKI文献,引言 机器学习作为人工智能领域的一个关键分支，已经成为推动技术革新和产业变革的重要力量。在大数据技术的推动下，机器学习算法和模型处理大规模数据集的能力得到了显著提升，这从推荐系统到自动驾驶汽车，从语音识别到图像处理，机器学习都扮演着核心角色。预计在未来十年，掌握机器学习的基础理论和方法将成为大多数工程技术人员必备的技能。开设机器学习课程...,张俊丽,《中国多媒体与网络教学学报(上旬刊)》,2024年04期,期刊,关键词：机器学习 / OBE教学理念 / 德育教育,下载（42）,被引（0）
基于机器学习的加密货币收益、风险溢出效应与投资组合研究  CNKI文献,"中山大学 博士 2024 基于机器学习的加密货币收益、风险溢出效应与投资组合研究 Research on Cryptocurrency's Returns,Risk Spillover Effects,and Portfolios Based on Machine Learning 李星毅 朱书尚 金融学 作为数字资产的关键组成部分,加密货币为传统金融系统带来变革的同时...",李星毅 导师:朱书尚,中国博士学位论文全文数据库, 2024-05-26 ,中国博士学位论文全文数据库,关键词：加密货币 / 收益率预测 / 波动率溢出效应 / 机器学习,下载（592）,被引（0）
基于机器学习的互联网小额信贷授信风险问题研究  CNKI文献,"西南石油大学 硕士 2022 C93 基于机器学习的互联网小额信贷授信风险问题研究 Research on Credit Risk of Internet Microfinance Based on Machine Learning 以L银行为例 Taking L Bank as an Example 陈俊安 张恒汝 工程管理硕士（专业学位） 风险管理 近年来,...",陈俊安 导师:张恒汝,中国优秀硕士学位论文全文数据库, 2022-10-01 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 小额信贷 / 风控模型 / 信用评分卡,下载（24）,被引（0）
机器学习在帕金森病诊断中的应用研究  CNKI文献,"帕金森病（Parkinson’s Disease,PD）是继阿尔茨海默病（Alzheimer’s Disease,AD）之后的第二大常见的神经退行性疾病，平均发病年龄为60岁左右。PD影响着全世界700～1 000万人[1]，中国每年新增超过10万患者，近年来还呈现年轻化的发病趋势。到2030年，中国PD患者可能将占世界PD患者总人数的一半[2]。PD与位于人脑丘脑区的黑质损坏相关，黑质神经元不可...",李西 姜孟,《电子科技大学学报》,2024年02期,期刊,关键词：帕金森病 / 机器学习 / 人工智能 / 诊断,下载（677）,被引（0）
机器学习在婴幼儿孤独症谱系障碍早期筛查中的应用进展  CNKI文献,"孤独症谱系障碍（autism spectrum disorder,ASD）是一组以社交障碍及重复刻板的兴趣和行为为核心症状的神经发育性疾病[1]。ASD起病于发育早期，在出生后6～18个月时即可显现相应症状[2]。近年来，ASD的患病率不断攀升，已成为儿童期最常见的神经发育障碍之一[3]，并且在世界范围内呈现无地区差异性的流行趋势[4]。美国疾病预防控制中心2021年的数据显示，ASD在8岁儿童中...",朱宏锐 张华 任珊 梅媛 肖归,《教育生物学杂志》,2024年02期,期刊,关键词：孤独症谱系障碍 / 机器学习 / 早期筛查 / 婴幼儿,下载（93）,被引（0）
机器学习辅助定向进化HIS1酶的PP塑料降解方法  CNKI文献,中南林业科技大学 生命科学与技术学院 硕士 2024 机器学习辅助定向进化HIS1酶的PP塑料降解方法 Machine Learning Assisted Directed Evolution of HIS1 Enzyme for PP Plastic Degradation 陈文韬 李永 生物与医药（专业学位） 环境生物工程 由于聚丙烯(PP)塑料在工业、商业和农...,陈文韬 导师:李永,中国优秀硕士学位论文全文数据库, 2024-04-15 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 定向进化 / HIS1 / 聚丙烯,下载（60）,被引（0）
制造业数字化转型驱动因素研究  CNKI文献,"兰州财经大学 硕士 2024 制造业数字化转型驱动因素研究 Research on Drivers of Digital Transformation in Manufacturing Enterprises 基于机器学习的证据 Evidence Based on Machine Learning 贾映彬 关辉国 工商管理 企业管理 公司治理 在数字化时代,制造业...",贾映彬 导师:关辉国,中国优秀硕士学位论文全文数据库, 2024-05-30 ,中国优秀硕士学位论文全文数据库,关键词：企业数字化转型 / 机器学习 / 制造业 / 上市公司,下载（159）,被引（0）
影像组学与机器学习在非小细胞肺癌淋巴结分期中的应用  CNKI文献,"开放科学(资源服务)标识码(OSID): 肺癌是最常见的癌症之一[1],非小细胞肺癌(non-small cell lung cancer, NSCLC)约占所有肺癌病例的85%[2]。肺癌分期是评估肺癌患者的关键步骤。准确的肿瘤分期是为每位患者提供最佳治疗方案的基础。对于大多数肺癌患者来说，纵隔淋巴结的评估是肺癌评估的关键。在缺乏远处转移证据的情况下，区域淋巴结的状态是指导治疗决策的的主要因素...",乔健一 李雅迪 王鹏远 辛军,《放射学实践》,2024年03期,期刊,关键词：肺肿瘤 / 非小细胞肺癌 / 影像组学 / 机器学习,下载（440）,被引（0）
机器学习联合遗传算法策略下的高性能Cu-Ni-Co-Si合金设计  CNKI文献,太原科技大学 材料科学与工程学院 硕士 2024 TG146.11;TP181 机器学习联合遗传算法策略下的高性能Cu-Ni-Co-Si合金设计 Design of High-performance Cu-Ni-Co-Si Alloy with Machine Learning Joint Genetic Algorithm Strategy 张英凡 党淑娥；陈娟 材...,张英凡 导师:党淑娥;陈娟,中国优秀硕士学位论文全文数据库, 2024-04-10 ,中国优秀硕士学位论文全文数据库,关键词：Cu-Ni-Co-Si / 机器学习 / 遗传算法 / 冷轧变形,下载（45）,被引（0）
基于项目驱动的“机器学习”课程创新实践探索  CNKI文献,随着人工智能时代的到来，教育部多次发文推进新工科建设，强调应注重人工智能与计算机、控制论、概率论、统计学等多门学科知识的交叉融合，对接产业需求建设新工科专业，紧跟科技前沿发展重构课程内容、改革教学模式，培养复合型、创新型人才[1-2]。新工科背景下，机器学习作为人工智能的一门核心专业课程，如何基于新工科理念改革课程教学是当前“机器学习”课程面临的主要挑战[3]。机器学...,张亚茹 郝定溢,《科教导刊》,2024年08期,期刊,关键词：人工智能 / 新工科 / 机器学习 / 项目驱动,下载（88）,被引（0）
机器学习在银行业反诈领域的应用探索  CNKI文献,一、概述 目前我国电信诈骗形势相当严峻，根据公安部的统计数据，电信网络诈骗已成为当前中国最严重的犯罪之一。电信诈骗在全国范围内普遍存在，受害人群体非常广泛，主要包括老年人、学生、农民工、企业员工、专业人士等，给人民群众带来了巨大的损失。而电信诈骗手段日益多样化和复杂化，诈骗者利用高科技手段、不断更新诈骗手段进行诈骗活动，造成了极恶劣的影响。 由于电信诈骗的复杂性和隐蔽性，打击电信诈骗需要全社会...,余刚健 程鹏 钟萃芳,《金融科技时代》,2024年03期,期刊,关键词：银行业 / 反诈预测 / 专家模型 / 机器学习,下载（301）,被引（0）
视觉识别与机器学习在财务风险管理中的应用  CNKI文献,0 引言 能源企业面临着复杂的财务风险，如市场波动、资金流动性问题、投资项目风险等。准确识别和评估这些风险对于保障企业的稳定运营至关重要。传统的财务风险识别方法存在着主观性高、效率低、易受人为误判等问题。而计算机视觉和机器学习作为新兴的技术手段，在财务风险识别中展现出巨大潜力。 1 研究背景 计算机视觉与财务风险识别。计算机视觉是一种基于图像和视频处理的技术，其在财务领域中的应用...,姬艳萍,《集成电路应用》,2024年03期,期刊,关键词：计算机技术 / 视觉识别 / 机器学习 / 能源企业,下载（103）,被引（0）
机器学习赋能的优化算法及其在新型电力系统中的应用与展望  CNKI文献,0引言 随着全球气候变化、环境污染问题日益严峻，传统以化石燃料为主要能源的发电系统正面临着巨大挑战。为尽早实现“碳达峰、碳中和”重要战略目标，关键举措之一便是构建新型电力系统。《“十四五”现代能源体系规划》提出构建以新能源为主体的新型电力系统，推动电力系统向适应大规模高比例新能源方向演进。新型电力系统可以通过数字化技术有效地整合可再生能源以及分布式储能系统，是实现能源清洁和国民经济可持续发展的重...,王新迎 闫冬 施展 张东霞 邓琪 林振炜,《中国电机工程学报》,2024年16期,期刊,关键词：机器学习 / 新型电力系统 / 人工智能 / 优化算法,下载（2252）,被引（0）
基于机器学习的自动化机械系统故障诊断与预测研究  CNKI文献,0 引言 自动化机械系统在现代工业中扮演着重要的角色，它们可以自主执行各种任务并提高生产效率。然而，由于系统的复杂性和长时间保持运行，这些系统容易出现故障，导致生产停止和设备损坏。因此，及时诊断和预测故障变得至关重要，它可以让我们提前采取适当的维修措施，减少停机时间和维修成本。传统的故障诊断方法通常基于专家知识和经验，但这种方法往往依赖于人工分析和判断，费时且不准确。随着机器学习技术...,刘将伟,《家电维修》,2024年03期,期刊,关键词：机器学习 / 自动化机械系统 / 故障诊断 / 故障预测,下载（644）,被引（0）
基于机器学习技术的低渗透储层孔隙结构表征与预测方法研究  CNKI文献,"中国石油大学（华东）博士学位论文 1 第一章 引 言 1.1 研究目的及意义 本研究主要为测井地质学与机器学习技术交叉研究，探讨利用机器学习技术进行尺 度升级，探索机器学习技术在孔隙结构表征与建模的适用性及应用性。目前尺度升级主 要在三个方向展开：1）探测技术的精进：主要在提高测井径向及纵向分辨率或开发新 探测技术的轨道上[1,2]，例如...",王喜冬 导师:范宜仁,中国博士学位论文全文数据库, 2021-11-01 ,中国博士学位论文全文数据库,关键词：塔中地区 / 柯坪塔格组上三亚段 / 低渗透砂岩 / 孔隙结构,下载（8）,被引（0）
微博用户人格特质与新冠疫情下主观幸福感的关系：基于机器学习方法  CNKI文献,贵州师范大学 硕士 2021 微博用户人格特质与新冠疫情下主观幸福感的关系：基于机器学习方法 The Relationship between Weibo Users' Personality Traits and Subjective Well-being under the Epidemic of COVID-19: Based on Machine Learning Me...,潘文浩 导师:赵守盈,中国优秀硕士学位论文全文数据库, 2021-05-28 ,中国优秀硕士学位论文全文数据库,关键词：新冠疫情 / 大五人格特质 / 主观幸福感 / 在线文本分析,下载（25）,被引（0）
基于运维知识图谱与机器学习的故障处理决策模型研究  CNKI文献,0 引言 故障应急处理是数据中心运维管理的重要任务之一。随着技术的不断发展，运维团队面临着越来越复杂和多样化的故障情况。为了提高故障处理的效率和准确性，本文利用知识图谱和机器学习技术来构建故障处理决策模型具有重要意义[1]。 [1] 1 知识图谱在故障处理中的应用 1.1 知识图谱的特点 1.1.1 多源、多模态的知识整合 知识图谱可以整合来自不同数据源和不同模态的知识信息...,邓嵬,《信息记录材料》,2024年03期,期刊,关键词：知识图谱 / 机器学习 / 故障处理 / 决策模型,下载（107）,被引（0）
基于机器学习的民用无人机避撞技术进展  CNKI文献,"引言 随着无人机相关技术的飞速发展,无人机在电力与油气管路巡检、遥感测绘、安防监控、应急救灾、农林植保和快递物流等民用领域得到了广泛的应用。根据BCC Research发布的《Drone Technology and Global Markets 2022》显示,到2022年,全球无人机技术市场估计价值296亿美元,预计到2027年产值将达到547亿美元。其中,城市场景中的无人机物流业务作为民用...",顾文勇,《高科技与产业化》,2024年02期,期刊,关键词：无人机 / 避撞 / 机器学习,下载（243）,被引（0）
机器学习在公共卫生领域的应用现状  CNKI文献,随着测量技术、数据存储设备和连接不同数据集技术能力的不断提高，越来越多的信息可供公共卫生研究和决策使用。机器学习是一种近年来快速发展的数据分析方法，具有高效、准确和自动化的特点，在公共卫生领域中得到了广泛应用。机器学习可以处理大量的数据，发现其中的模式和规律，并不断学习和优化模型，以提高预测和决策的准确性。本文综述了机器学习在公共卫生领域的应用，包括...,宋源龙 张态,《预防医学论坛》,2024年01期,期刊,关键词：机器学习 / 公共卫生 / 流行病学 / 人工智能,下载（935）,被引（0）
初级保健领域基于机器学习预测模型研究的设计特征与方法学质量：范围综述  CNKI文献,近年来，随着以信息技术和人工智能技术为代表的新兴技术的迅速发展，初级保健服务和基本医疗在数字化、智能化、协同化等方面不断发展、完善[1-3]。与专科医疗机构相比，初级保健服务机构常规登记数据、区域健康医疗数据、健康档案数据、患者自行报告的数据及移动设备采集的数据体量更为庞大，基于这些数据的临床研究报告及文献数量呈现逐渐升高趋势。在初级保健研究领域，学者开始尝试借助大数据和人工智能技术，通过...,钟锦佳 李文涛 黄亚芳 吴浩,《中国全科医学》,2024年10期,期刊,关键词：初级保健 / 机器学习 / 研究设计 / 预测模型,下载（485）,被引（0）
基于机器学习的数据情报侦查预测研究  CNKI文献,####引　言侦查预测是指侦查员根据已掌握的案情和有关的专门知识、经验，用各种科技手段和逻辑思维方法，对案件的性质、案情发展态势等进行预先推测的活动[1]。可见，采用先进的科技手段和正确的思维方法是提升侦查预测质量的前提和保障，而高质量的侦查预测是提高侦查效果的重点与难点，亦是制定警务决策、开展警务行动的重要依据。以历史纵向视角观之，自20世纪90年代我国进入互联网时代以来，公安情报预测在科技轨道...,岳佳,《中国人民公安大学学报(社会科学版)》,2024年01期,期刊,关键词：机器学习 / 数据犯罪情势 / 数据情报侦查 / 侦查预测,下载（403）,被引（0）
初中英语教育评估的机器学习方法与应用  CNKI文献,随着教育领域的不断发展和信息技术的进步，机器学习技术的引入为解决学生英语学习水平评估问题提供了新视角和新方法。机器学习可以分析大量的学生数据，包括考试成绩、作业表现、学习记录等多方面的信息，以帮助教育工作者更全面地评估学生的知识掌握情况。通过数据驱动的方法，机器学习建立并运用深度学习模型，根据多维度的信息预测学生的学习@...,王飞,《基础教育论坛》,2024年03期,期刊,关键词：初中英语 / 核心素养 / 机器学习 / 教育评估,下载（53）,被引（0）
基于机器学习的焦虑脑电识别技术分析  CNKI文献,0 引言 焦虑是一种正常的生理和心理反应，但人体若长期处于焦虑状态，则有可能演变成焦虑症等焦虑障碍。焦虑症以及其他焦虑障碍是全球范围内的常见心理健康问题，会影响患者的生活质量，降低生活的幸福指数。 1 研究背景 传统的焦虑状态识别方法是通过受试者的量表自测和临床医生的主观评估。这些方法受人的主观性影响较大，因此需要更客观的工具来提高焦虑状态识别的准确性。利用各种生理信号进行焦虑识别受到广大研...,邱江 王在俊 刘人杰,《电子技术》,2024年01期,期刊,关键词：脑电信号 / 焦虑识别 / 数据处理 / 机器学习,下载（337）,被引（1）
基于机器学习的移动通信网络切片安全部署技术研究  CNKI文献,0 引言 在当今数字化时代，移动通信网络扮演着日益重要的角色，为人们提供了无缝连接、高效通信的便利，然而，随着通信网络的不断发展和智能化的不断推进，用户的敏感数据也变得越来越庞大且重要。面对这些敏感数据的保护需求，网络切片技术作为一种关键的网络架构方案，为移动通信网络提供了更为灵活、高效的资源分配方式。广西公司开展网络关键数据监测服务和网络域相关系统的安全合规检查是加强信息安全的工作要求。项目支...,钟磊,《电子元器件与信息技术》,2024年01期,期刊,关键词：机器学习 / 移动通信 / 通信网络 / 切片安全,下载（75）,被引（1）
蛋白质计算中的机器学习  CNKI文献,"1 引言 蛋白质(protein)是生命的关键物质基础之一.研究它们对理解生命体系、探究生命进程和治疗疾病有着重大意义[1–3].由于时间与空间尺度、复杂度和可控性以及实验成本等原因,只依靠实验方法对蛋白质进行研究是不够的,用计算方法对蛋白质的研究可弥补实验研究的不足[4,5].对蛋白质实施计算研究主要有四种目的:研究蛋白质的结构、运动或相互作用细节(通常是通过分子动力学模拟)[6];给定蛋白质...",张嘉晖,《物理学报》,2024年06期,期刊,关键词：蛋白质 / 机器学习 / 分子动力学模拟 / 结构预测,下载（571）,被引（1）
