标题,引言,作者,出版书,日期,文章属性,关键词,下载数量,引用数量
机器学习、策略选择与供应链金融合谋行为：基于演化博弈视角的研究  CNKI文献,一、引言 “十四五”规划提出，加快发展现代产业体系。但是，随着世界经济全球化发展进程的加快，我国企业所面临的外部环境日益复杂，尤其是作为产业链、供应链中重要节点及国民经济重要组成部分之一的中小企业，其在履行创造就业岗位、促进科技创新、服务经济发展等社会责任的同时，也会面临自身融资需求与社会融资路径不适配的困境。回顾过去，金融危机期间的信贷紧缩曾致使许多供应商破产，并威胁到全球供应链的稳定[1]，...,任博 邱国栋,《金融理论与实践》,2023年12期,期刊,关键词：机器学习 / 金融科技 / 供应链金融 / 合谋掩饰,下载（1248）,被引（1）
基于机器学习的甜味剂分类预测模型研究进展  CNKI文献,1 简介 甜味是各种食物中最重要的味道之一，过量摄入糖类会增加不良健康状况的风险[1]。甜味剂的发现是食品领域的一场革命，使得生产无热量摄入的甜食成为可能[2]。甜味剂按来源可分为天然甜味剂和人工合成甜味剂。天然甜味剂是指从天然物质（通常是植物）中提取、分离出的甜味物质[3]。人工合成甜味剂，也称为糖替代品或非糖甜味剂，是指用作食品或饮料添加剂以替代糖的化合物[4]。甜味剂的安全性问题争议不断[...,林凡超 徐守江,《中国食品添加剂》,2024年01期,期刊,关键词：甜味剂 / 机器学习 / 深度学习 / 分类,下载（728）,被引（1）
机器学习在航空发动机钛合金研究中的应用进展  CNKI文献,弭光宝研究员，博士，研究方向为发动机钛火防控及高温钛合金。用密度泛函理论、蒙特卡洛随机算法和有限元方法对原子尺度和连续过程进行同步建模[4]。随着合金化元素种类增加，合金性能与组成元素的关系趋于复杂，各成分之间存在相互作用，对合金成分的设计和优化提出了更大的挑战。传统合金设计方法计算和试验成本高，新的合金成分设计和性能预测方法有待发展。近些年机器学习和数据科学快速发展，为各类合金成分设...,弭光宝 孙圆治 吴明宇 李培杰,《航空制造技术》,2024年Z1期,期刊,关键词：航空发动机钛合金 / 机器学习 / 性能预测 / 合金成分优化,下载（453）,被引（1）
基于物联网通信与机器学习的智能客服系统研究  CNKI文献,0 引言 现阶段，随着人工智能与信息化技术的不断创新进步，智能客服系统兴起，为各个领域及企业的发展提供便利条件，也促使智能客服进一步受到人们的重视[1]。其实，智能客服系统的发展过程是较为漫长的，从最开始的检索式机器人；演变成运用定向模板，支持多词匹配，具有模糊查询能力的客服系统程序；以此为基础，引入搜索技术，对相关性词汇进行排序，系统识别用户的语音和问题，完成目标处理；现如今是智能...,杨锋 杜秀君,《长江信息通信》,2024年01期,期刊,关键词：物联网技术 / 通信识别 / 机器学习 / 智能客服,下载（114）,被引（1）
机器学习驱动难熔高熵合金设计的现状与展望  CNKI文献,"随着航空航天、核反应堆、石油化工领域的迅速发展，对高温金属材料的性能提出了更为严苛的要求[1-2]。传统的镍基合金因其熔点偏低，需通过添加W,Mo等高熔点元素来提升其使用温度，但依然无法满足核反应堆、液体火箭发动机喷嘴、陆地燃气轮机等部件在超高温极端环境下的性能需求[2-3]。因此，迫切需要设计出具有更为优异力学性能和耐高温性能的新型合金。 [1-2] [2-3] 以难熔元素（如V,Cr,Z...",高田创 高建宝 李谦 张利军,《材料工程》,2024年01期,期刊,关键词：难熔高熵合金 / 机器学习 / 相结构 / 力学性能,下载（1156）,被引（1）
计量经济学中的机器学习方法：回顾与展望  CNKI文献,0 引言 计量经济学是以经济理论和实证数据为基础，借助数学和统计学工具预测和识别因果关系，为经济管理的实证研究提供理论支撑与方法工具的一门学科[1]。计量经济学的主要作用包括经济预测、验证理论和政策评价。计量经济学为各种互相竞争的经济理论提供“证伪”的契机，并为政策实施与政策评估提供科学决策依据。在推动经济学科学化的过程中，计量经济学发挥的作用不容忽视。在大数据时代，数据的形式和数量经历了翻天覆...,石荣 张特 杨国涛,《统计与决策》,2024年01期,期刊,关键词：机器学习 / 计量经济学 / 大数据 / 因果推断,下载（2921）,被引（1）
基于“3M”教学方法的机器学习课程改革与实践  CNKI文献,0 引言 在本科专业设置调整工作中，教育部明确提出引导高校用好学科交叉融合的“催化剂”，在科技发展前沿，以培养学生的高阶思维能力和问题解决能力为目标，创新推动学科交叉融合[1]，因此，解决教学中知识交叉融合并实现创新应用是一个共同难题和挑战[2]。在中国，很多高校已经成为拥有多元化学生群体的综合性组织，这使得在学生学习与开展教学活动时课堂环境要更有趣并具有挑战性[3-4]。 [1]...,唐静 王艳洁 王萌阳 张传扬 张晓明 郭一达 韩易霖,《计算机教育》,2024年01期,期刊,关键词：机器学习 / 学科交叉融合 / 教学研究 / 以学生为中心,下载（169）,被引（1）
基于机器学习的故障诊断方法研究综述  CNKI文献,随着我国工业技术的不断发展，工业机械和设备的整机复杂度不断提高。为了保障设备安全运行，必须对其进行有效的故障诊断。大量研究表明，故障诊断技术是发现机械设备早期故障的有效措施，可以为操作人员提供一定的决策经验，从而提前找出设备故障原因，避免重复出现同类故障，确保设备的工作效率，提高其可靠性。 随着计算机技术的不断发展，机器学习算法的性能在不同领域有所体现。在故障诊断中，机器学习@...,赵瑶瑶,《中国设备工程》,2024年01期,期刊,关键词：机器学习 / 故障诊断 / 浅层学习,下载（1747）,被引（1）
基于机器学习的水电能源发电效率预测与优化分析  CNKI文献,0 引言 随着全球能源需求的不断增长，新能源发电已经成为一种重要的能源来源。水电新能源发电作为一种可再生的能源形式，具有许多优点，如清洁、可调峰、可分布式等。然而，水电新能源发电的效率受到多种因素的影响，如水文条件、气象条件、设备状况等。因此，对水电新能源发电效率进行预测和优化，可以提高能源的利用效率，减少能源的浪费。 1 研究背景 水电新能源发电的定义和分类。水电新能源发电是指利用水资源进...,贺嘉坤,《集成电路应用》,2024年01期,期刊,关键词：机器学习 / 水电系统 / 效率预测,下载（157）,被引（1）
锂电池故障检测与机器学习算法应用  CNKI文献,0 引言 在医用电气设备中，采用锂电池作为能源已成为趋势。然而，由于电池的物理特性和工作环境的复杂性，锂电池故障可能会导致设备的性能下降甚至故障。因此，开发一种高效且准确的锂电池故障检测方法具有重要意义。机器学习算法具有适应性强、自动化程度高等特点，在故障检测领域展现出潜力。 1 研究背景 锂电池在医用电气设备中的应用。锂电池在医用电气设备中的应用是一个备受关注的研究领域。随着现...,魏皓 孙鹏 刘瑞瑞,《集成电路应用》,2024年01期,期刊,关键词：数据处理 / 锂电池 / 故障检测 / 评估策略,下载（291）,被引（1）
基于机器学习模型理论的基坑变形预测研究  CNKI文献,随着城市建设的不断发展，工程建设已不再局限于地面，城市地下空间开发日益增多，因此基坑工程也随之增加[1-2]。与此同时，基坑工程变得越来越复杂，因此对基坑进行监测变得尤为重要，基坑监测技术也逐渐从人工监测向自动化监测领域发展[3]。 [1-2] [3] 与人工监测相比，自动化监测通过将不同的传感器和监测设备相连，能即时获取各监测仪器的数据，全天候动态监测基坑。这个方式不仅可以节省人力成本，还...,田久晖 程华强 苏鑫 邓钦震 杨宏,《中国新技术新产品》,2024年01期,期刊,关键词：基坑 / 变形 / 自动化监测 / 机器学习,下载（159）,被引（1）
机器学习在智能物流研究中的应用进展与展望  CNKI文献,随着科学技术的不断发展，当今世界正掀起新一轮的产业革命。物流作为国民经济发展的基础产业和重要动脉，正面临着产业转型升级。传统的物流模式已不能满足人民日益增长的需求，物流正朝着自动化、智能化方向发展，智能物流的概念随之诞生。自动识别、人工智能、数据挖掘等技术为智能物流的发展提供了强大的驱动力[1]。其中在人工智能的研究中，学习被认为是一个关键的特征，机器学习也成为人工智能的重...,魏进 闫春雨 闫雪原,《物流科技》,2024年01期,期刊,关键词：机器学习 / 智能物流 / 智能仓储 / 智能运输,下载（1034）,被引（1）
基于机器学习的软件缺陷预测方法研究  CNKI文献,在数字化时代，软件已经成为企业和组织日常运营的核心。然而，软件缺陷的存在可能导致严重的业务中断和数据泄漏，从而损害组织的声誉和经济利益。本文旨在探索基于机器学习的软件缺陷预测方法，以提高软件质量，减少缺陷带来的高成本和高风险问题。 数据收集与管理 1.数据来源与获取 (1）数据来源。软件缺陷预测的数据有多个来源，最常见的数据源之一是版本控制系统，如Git或Subversion，它...,李睿宇,《网络安全和信息化》,2024年01期,期刊,关键词：机器学习 / 缺陷预测,下载（341）,被引（1）
新工科背景下“五融入”创新人才培养模式研究——以“机器学习”课程为例  CNKI文献,“新工科”于2016年6月由教育部首次提出，做好新工科建设是我国工程教育改革的重要方向，更是我国日后赢得国际竞争不可或缺的法宝。在中国共产党第二十次全国代表大会上，习近平总书记提出推动战略性新兴产业融合集群发展，构建新一代信息技术、人工智能等一批新的增长引擎[1]。大数据和云计算等技术不断发展，人工智能也发展迅猛，在此背景下，“机器学习”课程逐渐成了各高校人才培养方案的核心课程。推广“...,王兴梅 杨东梅 蔡成涛,《科教导刊》,2024年01期,期刊,关键词：机器学习 / 人才培养 / 课程思政 / 校企合作,下载（199）,被引（1）
机器学习算法在心理健康领域的应用研究  CNKI文献,机器学习算法是一种强大的数据分析技术，已经在心理健康领域得到推广与应用。本文从机器学习算法的概念出发，梳理了机器学习算法的种类及其辅助心理健康预测的具体路径，重点阐述了其在辅助诊断心理健康问题、丰富相关研究手段以及预测治疗效果三个方面的应用情况，最后对机器学习算法在心理健康领域的应用研究提出了展望，以期发挥机器学习算法在识别、预防和解决国...,周禹西 潘鑫燊,《华东科技》,2024年01期,期刊,关键词：机器学习算法 / 心理健康领域,下载（231）,被引（1）
机器学习视角下风味分子研究及其在茉莉花茶中的应用  CNKI文献,茶包括各种茶叶、花果茶和茶类食品[1-2]。其中，茉莉花茶作为中国特色的传统香片茶，因其独特宜人的香气和口感而广受大众喜爱[3]。茶类饮品的风味是影响其品质和市场竞争力的核心因素之一[4]。随着科技和食品工程领域的快速发展，茶的风味分析和品质控制变得更加精细和复杂。传统的人工感官评价虽然有一定的参考价值，但受主观性和经验性因素的影响，难以实现客观而高效的风味分析[5]。 [1-2] [3] ...,庞杰 李小林 王芹 张钦华 黄世国 孙意岚,《粮油食品科技》,2024年02期,期刊,关键词：风味分子 / 机器学习 / 茉莉花茶 / 品质预测与控制,下载（685）,被引（1）
机器学习在食品贮藏品质预测中的应用  CNKI文献,随着生活品质的提升与全民健康意识的增强，人们对食品需求量持续增大，对其品质要求不断提升[1-2]。然而，食品在生产、贮藏、流通过程中会受到多种因素的影响而导致其品质劣变，如常见的微生物腐败变质[3-4]、机械振动损伤[5-6]、蒸腾作用[7]、失水萎蔫[8]等。此外，我国仅果蔬在运输环节的年损失量就高达700亿元[2]，存在着巨大的食品浪费。因此，通过预测的手段并及时调整储运条件，从而精准调控食品...,代帅帅 吴伟杰 牛犇 房祥军 陈慧芝 陈杭君 郜海燕,《中国食品学报》,2023年12期,期刊,关键词：食品品质 / 预测 / 机器学习 / 微生物,下载（978）,被引（1）
基于CPTU测试岩土参数机器学习应用研究  CNKI文献,开放科学（资源服务）标识码（OSID) 0 引言 随着我国“十三五”规划目标的完成，“十四五”规划和“一带一路”倡议的推进，城镇化建设快速发展，交通、市政、地下空间等基础设施密集建造，涉及大量回填和开挖等岩土工程。这些岩土工程在施工和运营过程中常发生超出预期的变形，影响周边环境和既有建（构）筑物，并威胁人民生命财产安全。为了保证工程安全和环境影响可控，对岩土参数的准确性提出了更高的要求。因此，...,徐全善 祝毓萍 沈正,《电脑知识与技术》,2023年33期,期刊,关键词：孔压静力触探 / 岩土参数 / 机器学习 / 贝叶斯,下载（123）,被引（0）
基于机器学习技术的系统性金融风险监测预警  CNKI文献,0 引言 近年来，人工智能技术尤其是机器学习给很多行业带来了深刻变革，助推了相关领域的创新和发展。金融行业也不例外，随着金融科技的不断发展，金融业在许多层面都经历了或者正在发生重大的变革。具体到金融风险管理领域，由于现代金融体系愈加复杂化，传统的风险建模手段的局限性也日益凸显，而机器学习方法善于捕捉变量间的复杂非线性关系，相对于传统的经济分析和预测技术而言具有诸多内在优势...,李红权 周亮,《运筹与管理》,2023年11期,期刊,关键词：系统性金融风险 / 风险预警 / 机器学习 / 非线性建模,下载（1927）,被引（0）
人工智能与机器学习在网络安全中的应用性研究  CNKI文献,引言 人工智能与机器学习为网络安全中的漏洞管理方面提供了有效的技术支持，使网络安全得到增强。人工智能与机器学习技术可以自动化漏洞扫描和分析过程，识别系统和应用程序中的潜在漏洞，并评估其严重性。通过对漏洞进行优先级排序，安全团队可以更有效地分配资源和优先处理最关键的漏洞，从而提高整体安全性。人工智能与机器学习还能够从历史漏洞数据中学习，发现新的漏洞模...,梅泽川,《泰山学院学报》,2023年06期,期刊,关键词：人工智能 / 机器学习 / 网络安全 / 实用性,下载（218）,被引（0）
机器学习在谵妄风险预测模型构建中的研究进展  CNKI文献,"谵妄是一种急性可逆性神经精神综合征，以急性起病和病情反复波动为主要特征[1]。据报道，谵妄在普通病房的发生率为12%[2]，在老年病房的发生率为20%～29%，在重症监护室(intensive care unit,ICU)的发生率为20%～50%，大手术后的高危患者谵妄发生率高达50%～70%[3]。患者在住院期间发生谵妄，可能导致一系列不良后果，提高致残率和致死率[4]。研究表明，30%～40%...",张伟丽 邱晨 宋玉祥 罗云根 宋咪 高远,《解放军医学院学报》,2023年11期,期刊,关键词：机器学习 / 人工智能 / 谵妄 / 风险因素,下载（836）,被引（0）
生成式人工智能机器学习中的著作权风险及其化解路径  CNKI文献,"近年来，人工智能，尤其是生成式人工智能（Generative Artificial Intelligence，下文简称“生成式AI”）的快速发展，给文学、绘画、音乐、计算机编程等领域带来了巨大的冲击。生成式AI技术更是入选了世界经济论坛（World Economic Forum,WEF）“2023十大新兴技术”，成为未来三到五年内对世界影响最大、推动第四次产业革命的新兴核心技术之一。1与此同时，当...",詹爱岚 田一农,《电子知识产权》,2023年11期,期刊,关键词：生成式人工智能 / 机器学习 / 著作权 / 合理使用,下载（1462）,被引（0）
基于机器学习电子封装互连材料研究现状  CNKI文献,0前言 自1965年摩尔定律提出以来，芯片的特征尺寸按照摩尔定律而不断减小，性能也随之不断提高。随着芯片特征尺寸不断减小至几纳米级，特征尺寸已接近单晶Si的物理极限，摩尔定律不再适用，半导体行业已逐渐步入“后摩尔时代”。采用先进3D封装技术，提高封装集成度以提高芯片性能的方法被广泛认为是延续摩尔定律的关键决策之一。在这期间，封装的形式从简单的直插式引脚封装发展到球栅阵列(Ball grid ar...,张墅野 段晓康 罗克宇 许孙武 张志昊 陈捷狮 何鹏,《机械工程学报》,2023年22期,期刊,关键词：机器学习 / 电子封装 / 高熵合金 / 可靠性,下载（337）,被引（0）
机器学习在军队专项经费审计中的应用研究  CNKI文献,随着大数据和计算机技术的飞速发展，机器学习等先进的智能化技术也得到了快速的发展，而且应用领域也在逐渐扩大，银行、电网、金融业等行业都开始应用机器学习技术。同时，军队专项经费审计中开始推行机器学习，并借助机器学习的优势来提升审计活动自动化、智能化、科学化水平，同时将其应用到专项经费审计中还能提升专项资金的利用率，提升审计工作质量。 一、机器学习...,陈帝欣,《经济研究导刊》,2023年21期,期刊,关键词：机器学习 / 军队专项经费审计 / 应用策略 / 应用效果,下载（72）,被引（0）
机器学习在土壤盐渍化遥感中应用的文献计量分析  CNKI文献,土壤盐渍化又称土壤盐碱化，是世界范围内正面临的主要生态环境问题之一，也是世界各地土壤退化的主要原因之一[1]，严重威胁着粮食安全和生态系统的功能，需要通过监测和管理予以充分的关注[2]。盐渍化土壤复杂时空特性的及时有效监测是遥感技术长处所在[3]，在过去十多年间，已经快速发展成为监测土壤盐渍化程度及分布的重要工具[4]。 [1] [2] [3] [4] 机器学习是人工智能的一...,张佘淑 赵军,《草业科学》,2023年11期,期刊,关键词：土壤盐渍化 / 文献计量可视化 / 机器学习建模 / 特征变量,下载（316）,被引（0）
基于机器学习算法的饮料调配装置优化设计  CNKI文献,引言 随着人们对个性化和高效率的需求不断增加，饮料调配装置成为现代餐饮业中不可或缺的一部分。传统的饮料调配装置通常基于预设的配方进行操作，无法满足顾客在口味、甜度、浓度等方面的个性化需求。此外，传统装置的调配过程通常需要人工操作，效率较低。因此，如何设计一种能够自动化、高效率且满足个性化需求的饮料调配装置成为了一个重要的研究课题。 一、饮料调配装置的背景和研究意义 饮料调配装置是一种用于自动...,徐海霞,《酒·饮料技术装备》,2023年06期,期刊,关键词：机器学习算法 / 饮料调配装置 / 优化设计 / 自动化,下载（42）,被引（0）
机器学习在实验动物设施管理中的应用进展与展望  CNKI文献,"实验动物设施是实验动物饲养及实验的主要场所，也是保障实验动物饲育质量的重要基础和支撑条件。目前，实验动物设施的大部分系统及设备中都应用了传感器及物联网技术，积累了大量的运行数据，能够直接反映实验动物设施最真实的状态[1]。这些运行数据有着数量大、维度多的特点，常规分析手段无法充分挖掘其数据价值。机器学习(machine learning),是从数据中学习特定任务的计算机算法...",徐骁 陈琦,《中国比较医学杂志》,2024年01期,期刊,关键词：机器学习 / 实验动物设施 / 屏障设施,下载（198）,被引（0）
机器学习模型输入指标选择方法研究——以上市公司财报舞弊判别为例  CNKI文献,上市公司信息披露准确与否将对财报使用者的决策产生较大的影响。近年来，上市公司的舞弊手段越发多样化和隐蔽化，且更加具有针对性，仅依靠传统分析手段较难发现舞弊行为。机器学习模型不同于传统分析手段，其通过输入特定的样本数据进行训练和拟合并进行预测分析的方法，能发现传统分析手段难以识别出的问题，目前已经有越来越多的研究开始关注这一领域。机器学习模型的应用较为简单，只需输入特定的财务...,刘佳进,《商业会计》,2023年21期,期刊,关键词：上市公司财务舞弊 / 机器学习 / 舞弊判别 / Logistics回归分析模型,下载（264）,被引（0）
智能机器学习算法在电力信息化中的应用  CNKI文献,0 引言 智能机器学习算法在电力信息化中承担着关键角色。为了更好地理解其应用，我们首先介绍机器学习的基础知识。机器学习是一种利用数据和统计技术让计算机自动学习、改进和预测的方法。 1 研究背景 在电力信息化中，智能机器学习算法的特点主要体现在其自动学习和适应性能力方面。这些算法能够通过对大量数据进行学习和分析...,王敏,《集成电路应用》,2023年11期,期刊,关键词：智能技术 / 机器学习 / 算法应用 / 模型评估,下载（107）,被引（0）
生物分子模拟中的机器学习方法  CNKI文献,"1)(南京大学物理学院,南京　210093)2)(国科温州研究院,温州生物物理重点实验室,温州　325000)分子模拟技术已成为人们从分子层次探究生命原理的强有力工具.经过近50年的发展,生物分子模拟能够实现对蛋白折叠、构象运动和蛋白-蛋白分子相互作用等复杂分子体系的生物过程的动力学和热力学性质进行定量表征.近年来,以深度学习为代表的机器学习算法的应用进一步推动了生物分子模...",管星悦 黄恒焱 彭华祺 刘彦航 李文飞 王炜,《物理学报》,2023年24期,期刊,关键词：生物大分子 / 分子模拟 / 机器学习 / 增强采样,下载（405）,被引（0）
基于XGBoost机器学习模型的信用评分卡与基于逻辑回归模型的对比  CNKI文献,在金融风控领域，如何根据贷款客户的基本信息和行为数据等，利用一定的分类模型，将贷款客户区分为违约客户和非违约客户，从而减少贷款机构的信用风险，是金融贷款机构孜孜不倦的追求.当前有两种主流分类模型——统计学模型和机器学习模型.逻辑回归模型是最常用的统计学模型，其优点主要体现在：第一，理论基础成熟，适合二分类问题[1]；第二，可解释性较强，易于理解[2]；第三，模型训练时间短[3].缺点主...,张利斌 吴宗文,《中南民族大学学报(自然科学版)》,2023年06期,期刊,关键词：逻辑回归模型 / XGBoost机器学习模型 / 信用评分卡,下载（2019）,被引（0）
异质性政策效应评估与机器学习方法：研究进展与未来方向  CNKI文献,一、引言 推动国家治理体系和治理能力的现代化，离不开对政策效应的科学准确评估。而随着社会科学领域内的学术研究对政策效应评估的关注越来越多，政策在不同群体中产生的异质性效应也逐渐受到重视（布兰德、托马斯，2013；阿西、因本斯，2015）。这是因为，在政策效应评估中，我们不仅希望评估某一政策是否有效或产生多大的效应，即平均处理效应，也希望了解谁在政策中受益更多，以及谁又在政策中受损，即异质性处理效...,陶旭辉 郭峰,《管理世界》,2023年11期,期刊,关键词：政策效应评估 / 异质性处理效应 / 机器学习 / 大数据,下载（8401）,被引（0）
体育机器学习的研究热点与趋势——基于CiteSpace的可视化分析  CNKI文献,体育机器学习的研究热点与趋势——基于CiteSpace的可视化分析@欧阳彦$武汉体育学院体育工程与信息技术学院!湖北武汉430079$国家体育总局体育工程重点实验室!湖北武汉430079 @周文嘉$武汉体育学院体育工程与信息技术学院!湖北武汉430079$国家体育总局体育工程重点实验室!湖北武汉430079 @王聿森$武汉体育学院体育工程与信息技术学院!湖北武汉430079$国...,欧阳彦 周文嘉 王聿森 彭李明 郑伟涛 王虹,第十三届全国体育科学大会论文摘要集——专题报告(体育信息分会), 2023-11-03 ,第十三届全国体育科学大会论文摘要集——专题报告(体育信息分会),关键词：体育 / 机器学习 / 知识图谱,下载（131）,被引（0）
机器学习技术应用肥胖研究的系统综述  CNKI文献,机器学习技术应用肥胖研究的系统综述@宋彦李青$南京工业大学体育学院!江苏南京211023 @刘悦$上海体育学院运动科学学院!上海200082 @吴瑞亭$北京市西城区少年儿童业余体校!北京100000研究目的:系统的梳理机器学习技术在肥胖研究领域中的应用。将涵盖机器学习技术在肥胖研究应用的关键问题。机器学习本质上是大型数据集与特定类别的机...,宋彦李青 刘悦 吴瑞亭,第十三届全国体育科学大会论文摘要集——专题报告(体质与健康分会), 2023-11-03 ,第十三届全国体育科学大会论文摘要集——专题报告(体质与健康分会),关键词：机器学习 / 肥胖 / 健康促进 / 人工智能,下载（123）,被引（0）
体育预测研究新道路——机器学习及其在竞技体育中的应用分析  CNKI文献,"体育预测研究新道路——机器学习及其在竞技体育中的应用分析@袁海坤$东北师范大学体育学院!吉林长春130024 @王文龙$东北师范大学体育学院!吉林长春130024 @邢金明$东北师范大学体育学院!吉林长春130024 @崔佳琦$东北师范大学体育学院!吉林长春130024在推进中国式现代化进程中,数字技术的深度渗透已经成为推动体育高质量发展的重要力量。由于人类自身决策功能的局...",袁海坤 王文龙 邢金明 崔佳琦,第十三届全国体育科学大会论文摘要集——书面交流(体育社会科学分会), 2023-11-03 ,第十三届全国体育科学大会论文摘要集——书面交流(体育社会科学分会),关键词：体育预测 / 机器学习 / 体育智能 / 定量研究方法,下载（48）,被引（0）
基于机器学习的建筑震后损伤评估模型及地震动特征分析方法研究  CNKI文献,广州大学 博士 2023 基于机器学习的建筑震后损伤评估模型及地震动特征分析方法研究 A Machine Learning-based Study on Post-Earthquake Damage Assessment Model and Ground Motion Characterization Method for Buildings 张鹏 孙作玉 结构工程 A...,张鹏 导师:孙作玉,中国博士学位论文全文数据库, 2023-11-01 ,中国博士学位论文全文数据库,关键词：机器学习 / 地震损伤评估 / 神经网络 / 地震动特征分析,下载（157）,被引（0）
基于机器学习预测股票收益率的三步骤投资组合优化  CNKI文献,"东北财经大学 硕士 2023 基于机器学习预测股票收益率的三步骤投资组合优化 Three-step Portfolio Optimization for Stock Returns Prediction Based on Machine Learning 王博君 史永东 金融学 自马科维兹的资产组合选择模型诞生以来,伴随着全球资本市场的发展,提出有效的投资管理策略一直是...",王博君 导师:史永东,中国优秀硕士学位论文全文数据库, 2023-11-01 ,中国优秀硕士学位论文全文数据库,关键词：机器学习 / 投资组合优化 / 历史收益率约束 / 人工智能,下载（264）,被引（0）
